,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,,[Removed],[Removed],https://removed.com,,1970-01-01T00:00:00Z,[Removed],,[Removed]
1,Daily Contributors,Owning Versus Renting – The Circumstances of Web3 Domains,"By Daily Contributors
Last week, Charles Dray from Resonance Security organized a meeting for me with Davide Vicini, the CEO of Freename, which is a company in…
This is a post from HackRead.com Read the original post: Owning Versus Renting – The Circumstances…",https://www.hackread.com/owning-versus-renting-circumstances-web3-domains/,https://www.hackread.com/wp-content/uploads/2024/03/owning-versus-renting-circumstances-web3-domains.jpg,2024-03-19T17:50:05Z,"Last week, Charles Dray from Resonance Security organized a meeting for me with Davide Vicini, the CEO of Freename, which is a company in the Web3 domain name space.
We chatted for five minutes abou… [+5859 chars]",,HackRead
2,Danny Nelson,Polygon Labs Paid $4M to Host Starbucks' Doomed Foray Into Crypto: Sources,The blockchain developer gave the coffee giant a $4 million grant as part of their 2022 deal to build an NFT-powered loyalty program that is now being shuttered.,https://www.coindesk.com/business/2024/03/19/polygon-labs-paid-4m-to-host-starbucks-doomed-foray-into-crypto/,https://www.coindesk.com/resizer/l363QHdllMJoP6XV11vWGA1rFfk=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/VRMGC3HQLBBNTEV4OWP2E6QPRE.jpg,2024-03-19T17:59:30Z,"<ul><li>Polygon Labs paid $4 million to host Starbucks Odyssey, the NFT-powered loyalty program that made headlines as a crypto biz-dev coup.
</li><li>The deal was a hallmark of a ""big and flashy"" b… [+7753 chars]",,CoinDesk
3,Nick Dunn,Top Crypto Gainers on 19 March – SCS and NULLS,"The crypto market capitalization at large has fallen by 7.57% today to $2.37 trillion. A notable factor suspected to be responsible for this dip is Bitcoin’s dip to the $63,200 level....
The post Top Crypto Gainers on 19 March – SCS and NULLS appeared first o…",https://techreport.com/crypto-news/top-crypto-gainers-on-march-19-scs-nulls/,https://techreport.com/wp-content/uploads/2024/03/types-of-cryptocurrencies-2.jpg?_t=1710898423,2024-03-20T01:33:41Z,"The crypto market capitalization at large has fallen by 7.57% today to $2.37 trillion. A notable factor suspected to be responsible for this dip is Bitcoins dip to the $63,200 level. 
As the market … [+10909 chars]",,Techreport.com
4,InvestorsObserver,"Flash News: Merlin Chain Now Supported on OKX DEX Aggregator, Expanding Trading Options","Flash News: Merlin Chain Now Supported on OKX DEX Aggregator, Expanding Trading Options           PR Newswire             SINGAPORE     ,     March 20, 2024     /PRNewswire/ --   OKX   , a leading Web3 technology company, has issued updates for   March...",https://www.investorsobserver.com/news/qm-pr/4695402427192501,https://s3.amazonaws.com/images.investorsobserver.com/io-logo-800x450.jpg,2024-03-20T03:42:00Z,"SINGAPORE
,
March 20, 2024
/PRNewswire/ --
OKX
, a leading Web3 technology company, has issued updates for
March 20, 2024
.
Merlin Chain Now Supported on OKX DEX Aggregator, Expanding Trading… [+3218 chars]",,InvestorsObserver
5,Hassan Maishera,Bitcoin Dogs prepare for exchange listing after raising $13.4m in presale,Key takeaways The Bitcoin Dogs presale has ended and the project has raised nearly $13.5 million. The team is now working to list $0DOG on exchanges while allowing investors to claim their tokens.  What is Bitcoin Dogs? The cryptocurrency market has been bear…,https://coinjournal.net/news/bitcoin-dogs-prepare-for-exchange-listing-after-raising-13-4m-in-presale/,https://coinjournal.net/wp-content/uploads/2024/03/1710911190546-dca097cc-93b6-487a-b96e-84b706d54aa4.jpg,2024-03-20T05:13:09Z,"Key takeaways
<ul><li>The Bitcoin Dogs presale has ended and the project has raised nearly $13.5 million.
</li><li>The team is now working to list $0DOG on exchanges while allowing investors to cla… [+2784 chars]",,Coinjournal.net
6,AMBCrypto Team,Analysts predict Bitgert Coin price surge of +2000% in coming days,The Crypto market has seen high inflows and high volatility in the recent months. The […],https://ambcrypto.com/analysts-predict-bitgert-coin-price-surge-of-2000-in-coming-days/,https://ambcrypto.com/wp-content/uploads/2024/03/Bitgert-Coin-price-surge-1000x600.png,2024-03-20T09:00:12Z,"The Crypto market has seen high inflows and high volatility in the recent months. The market continues to be positive, with the total market cap well above $2.5 trillion. Bitcoin has touched another … [+3058 chars]",,Ambcrypto.com
7,"Lyllah Ledesma, Omkar Godbole",First Mover Americas: BTC's Drop Below $62K Is the Biggest Single-Day Loss Since FTX’s Collapse,"The latest price moves in bitcoin (BTC) and crypto markets in context for March 20, 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2024/03/20/first-mover-americas-btcs-drop-below-62k-is-the-biggest-single-day-loss-since-ftxs-collapse/,https://www.coindesk.com/resizer/IkFUxyWVRIi1Jo3cPQN8Y1ofLBM=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/RCWLBKLVLJDD3PHIR4RA57XKOA.jpg,2024-03-20T12:31:02Z,"This article originally appeared in First Mover, CoinDesk's daily newsletter, putting the latest moves in crypto markets in context. Subscribe to get it in your inbox every day.
Bitcoins (BTC) price… [+3179 chars]",,CoinDesk
8,Particle Network,Particle Network Unveils Modular Layer-1 for Chain Abstraction & Universal Accounts,"Particle Network announces its modular Layer 1, revolutionizing the blockchain ecosystem with unified chain abstraction solutions. Particle Network announces its modular Layer 1, revolutionizing the blockchain ecosystem with unified chain abstraction solution…",https://www.globenewswire.com/news-release/2024/03/20/2849589/0/en/Particle-Network-Unveils-Modular-Layer-1-for-Chain-Abstraction-Universal-Accounts.html,https://ml.globenewswire.com/Resource/Download/5629b5bb-643d-49fb-8ab4-0d2f3aede0be,2024-03-20T15:58:00Z,"Singapore, Singapore, March 20, 2024 (GLOBE NEWSWIRE) -- Particle Network
, a leading provider of Account and Wallet Abstraction solutions, has announced its revolutionary Modular Layer-1 powering C… [+4722 chars]",,GlobeNewswire
9,David Penn,"Tales from the Crypto: Base Backup, Blockchain Payments Secure Funding, Crypto-Friendly Alums","This week in Tales from the Crypto we look at the boom-induced traffic jam in crypto coin trading, new funding for a blockchain payment network in the developing world, and a pair of new crypto-friendly alums that demoed at FinovateEurope last month. Base Bac…",https://finovate.com/tales-from-the-crypto-base-backup-blockchain-payments-secure-funding-crypto-friendly-alums/,https://finovate.com/wp-content/uploads/2024/03/fabio-oyXis2kALVg-unsplash-scaled.jpg,2024-03-20T19:33:48Z,"This week in Tales from the Crypto we look at the boom-induced traffic jam in crypto coin trading, new funding for a blockchain payment network in the developing world, and a pair of new crypto-frien… [+6908 chars]",,Finovate.com
